	AT	NP-TL	NN-TL	JJ-TL	VBD	NR	NN	IN	NP$	JJ	``	''	CS	DTI	NNS	.	RBR	,	WDT	HVD	VBZ	CC	IN-TL	BEDZ	VBN	NP	BEN	TO	VB	RB	DT	PPS	DOD	AP	BER	HV	DTS	VBG	PPO	QL	JJT	ABX	NN-HL	VBN-HL	WRB	CD	MD	BE	JJR	VBG-TL	BEZ	NN$-TL	HVZ	ABN	PN	PPSS	PP$	DO	NN$	NNS-HL	WPS	*	EX	VB-HL	:	(	)	NNS-TL	NPS	JJS	RP	--	BED	OD	BEG	AT-HL	VBG-HL	AT-TL	PPL	DOZ	NP-HL	NR$	DOD*	BEDZ*	,-HL	CC-TL	MD*	NNS$	PPSS+BER	'	PPSS+BEM	CD-TL	RBT	(-HL	)-HL	MD-HL	VBZ-HL	IN-HL	JJ-HL	PPLS	CD-HL	WPO	JJS-TL	ABL	BER-HL	PPS+HVZ	VBD-HL	RP-HL	MD*-HL	AP-HL	CS-HL	DT$	HVN	FW-IN	FW-DT	VBN-TL	NR-TL	NNS$-TL	FW-NN	HVG	DTX
AT	940	10	45	13	5	0	125	10	9	73	0	0	6	0	48	1	0	0	0	2	2	2	0	0	13	91	1	1	48	20	0	1	0	3	0	2	6	38	0	3	0	4	7	0	2	30	5	4	2	1	0	0	0	0	0	4	0	0	0	6	0	0	0	3	2	0	0	2	0	0	0	0	0	0	2	2	2	2	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
NP-TL	10	13	5	0	0	0	12	1	0	6	1	0	0	0	4	2	0	0	0	0	0	0	1	0	1	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN-TL	45	5	129	4	1	0	40	3	2	20	9	0	0	0	6	35	0	0	0	0	4	0	1	0	2	20	0	1	5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	0	9	0	0	0	0	4	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ-TL	13	0	4	22	0	0	12	0	0	5	2	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
VBD	5	0	1	0	148	0	14	6	0	18	0	4	0	0	0	30	2	0	0	0	7	0	11	0	15	11	0	1	2	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NR	0	0	0	0	0	29	5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN	125	12	40	12	14	5	919	59	2	85	3	10	0	0	82	126	0	0	0	0	7	0	14	0	33	87	0	8	38	11	1	0	0	3	7	0	0	18	7	2	3	0	12	4	1	18	23	4	2	0	3	3	0	0	0	41	2	0	10	1	12	2	0	2	0	0	0	5	0	2	4	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
IN	10	1	3	0	6	0	59	864	6	83	8	0	22	0	45	10	1	0	0	0	12	0	22	0	12	16	0	118	11	6	0	0	0	0	0	0	0	10	2	0	0	0	0	1	0	0	7	12	0	0	0	0	0	0	0	5	1	0	1	3	13	0	0	0	0	1	0	2	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
NP$	9	0	2	0	0	0	2	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ	73	6	20	5	18	0	85	83	0	187	2	3	7	0	58	16	0	0	0	2	1	1	3	0	24	56	4	7	10	11	2	4	0	1	2	0	0	5	15	2	4	0	0	2	2	2	7	1	4	0	0	0	0	1	1	28	3	0	0	0	6	0	1	2	0	2	1	6	0	1	5	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
