	VBN	IN	AT	NN	AP	CS	WDT	BEZ	MD	BE	OD	VBG	NR	.	NP	,	NNS-TL	NN-TL	IN-TL	NP-TL	VBD	NNS	PP$	JJ	TO	VB	PPO	VBZ	PPSS	CD	CC	DT	EX	PPS	HVZ	BEN	RB	HVD	JJ-TL	ABX	QL	JJR	WRB	``	RP	''	*	DTI	BER	NN$	BEDZ	BED	BEG	HV	WPS	NR$	ABL	PN	ABN	OD-TL	JJT	NP-HL	--	DOD	NNS$-TL	PPS+HVZ	VBZ-HL	NN-HL	NP$	HVG	BEM	MD*	RBR	:	NPS	'	VBN-TL	RB-HL	NN$-TL	DTS	RBT	CC-TL	PPSS+MD	PPSS+BER	NPS-HL	NPS$	PPSS+BEM	WP$	NNS$	PPL	VBN-HL	NN-TL-HL	CC-HL	DOD*	,-HL	CD-HL	PPS+BEZ	AT-TL	AP-TL	UH-TL	BEZ-HL	JJ-HL	NNS-HL	TO-HL	VB-HL	NR-TL	DO	DO*	VBN-TL-HL	NNS-TL-HL	DT-HL	IN-HL	VBG-TL	AP-HL	DOZ	MD-HL	BE-HL	HVN	DOZ*	(	)	QLP	VBG-HL	DTX	PPLS	JJR-HL	JJS	(-HL	)-HL	RP-HL	PPSS+HVD	VBD-HL	FW-NN	FW-IN+NN
VBN	84	40	34	40	2	0	0	0	0	0	0	6	0	1	8	0	0	2	2	0	13	4	2	21	1	1	0	1	0	0	0	0	0	0	0	6	11	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
IN	40	852	33	300	19	25	12	0	12	0	1	30	9	0	68	1	12	45	16	11	38	83	17	68	121	46	2	14	14	25	0	10	4	8	13	6	22	0	17	1	4	1	8	4	12	0	6	8	11	5	0	2	2	8	0	0	1	2	0	1	0	2	0	4	0	0	0	1	3	0	0	0	1	7	0	0	0	1	1	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	8	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
AT	34	33	872	233	15	24	4	5	16	8	0	58	8	1	104	0	3	63	0	11	16	100	4	54	1	110	4	6	4	23	17	8	2	8	7	0	44	3	19	1	2	1	2	10	7	11	14	6	4	3	6	4	2	5	4	2	0	3	6	1	0	6	0	0	1	0	0	2	5	2	0	0	0	1	0	4	1	0	0	5	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	2	0	3	0	0	0	1	4	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	
NN	40	300	233	971	17	15	7	21	30	6	7	21	14	71	110	3	8	69	1	15	30	76	19	103	26	60	10	4	14	18	25	8	3	10	5	8	23	3	38	1	8	5	2	2	4	12	5	5	15	9	7	3	0	3	8	0	0	1	0	0	5	1	3	0	2	1	0	6	0	0	0	0	2	0	6	3	8	0	0	3	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
AP	2	19	15	17	15	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CS	0	25	24	15	0	73	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	11	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
WDT	0	12	4	7	0	0	13	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BEZ	0	0	5	21	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MD	0	12	16	30	0	0	0	0	84	0	0	0	0	2	2	0	0	0	0	0	0	6	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BE	0	0	8	6	0	0	0	0	0	50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OD	0	1	0	7	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBG	6	30	58	21	0	0	0	0	0	0	0	5	0	4	8	1	0	1	0	0	2	4	0	14	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NR	0	9	8	14	0	0	0	0	0	0	0	0	8	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
.	1	0	1	71	0	1	0	0	2	0	0	4	0	333	7	0	1	4	0	2	0	7	0	3	0	4	0	1	0	3	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NP	8	68	104	110	10	3	1	0	2	0	1	8	5	7	186	6	0	21	1	9	31	28	2	49	1	17	3	11	2	12	4	2	0	2	0	0	8	2	9	1	1	1	4	1	2	0	3	5	17	0	0	0	0	0	8	0	0	0	0	0	0	15	10	2	0	0	0	0	2	0	0	0	0	0	1	4	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	
,	0	1	0	3	0	0	1	0	0	1	0	1	0	0	6	351	0	2	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS-TL	0	12	3	8	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	0	2	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN-TL	2	45	63	69	1	0	0	0	0	0	0	1	1	4	21	2	0	47	1	0	2	2	2	16	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IN-TL	2	16	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NP-TL	0	11	11	15	0	0	0	0	0	0	0	0	0	2	9	0	1	0	0	4	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBD	13	38	16	30	0	0	0	0	0	0	0	2	0	0	31	1	1	2	1	0	62	1	0	5	0	4	0	3	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS	4	83	100	76	0	0	0	0	6	0	7	4	0	7	28	1	0	2	1	0	1	105	5	64	3	2	3	1	3	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	4	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
