	AT	NN	NNS	VBD	TO	VB	JJ	CS	CD	VBG	IN	NN-TL	NP	.	HVZ	VBN	AP	RB	HVD	EX	MD	BE	CC	RP	BEN	WDT	PP$	,	PPS	BEDZ	NR	WPS	BEZ	NP-TL	JJ-TL	IN-TL	QL	PPO	NNS-TL	NN$	DTI	VBN-TL	NNS$-TL	``	PPSS	*	PP$$	''	DO	PPLS	NN-HL	VBN-HL	HV	JJT	WRB	NPS	BER	VBZ	JJ-HL	JJT-HL	JJR	NP$	WP$	DT	BED	PN	--	MD*	NP-HL	(-HL	)-HL	CD-TL	(	)	ABN	NN-TL-HL	OD	AT-TL	DTS	:	ABX	RB-HL	NNS$	VBZ-HL	'	,-HL	CD-HL	BEG	NP-TL-HL	DOD	NPS$	NPS-TL	NN$-TL	NR$	NNS-HL	JJR-HL	PPSS+MD	RBR	PPSS+BEM	VBG-HL	IN-HL	MD+HV	NP$-TL	VB-HL	OD-HL	JJR-TL	VBD-TL	DOZ*	PPS+BEZ	DT+BEZ	DOD*	QLP	EX+BEZ	PPSS+HV	DO*	:-HL	HVN	PPS+MD	JJS	PPSS+BER	PPL	ABL	UH	CC-HL	FW-CC	FW-NNS	VBG-TL	BEM	DOZ	BEDZ-HL	VBD-HL
AT	869	152	60	32	2	78	50	21	60	43	20	33	189	1	6	30	13	45	5	5	9	16	13	9	6	5	8	0	26	10	28	4	3	18	13	0	6	14	7	0	7	1	0	0	12	1	0	13	0	1	9	0	4	0	9	3	3	9	1	0	0	20	0	3	4	5	17	0	15	2	1	1	2	3	1	1	8	1	1	3	5	0	0	1	1	0	1	1	0	1	0	3	0	3	3	0	5	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	
NN	152	871	103	74	16	44	140	19	55	45	289	50	213	67	0	45	29	44	0	3	18	4	36	10	2	1	21	113	16	15	24	2	7	20	19	2	11	11	24	13	3	5	8	0	16	6	0	10	1	0	5	2	3	5	3	25	3	7	0	0	5	10	0	5	5	1	7	4	7	2	0	0	0	5	3	0	36	0	0	4	0	1	0	5	1	7	1	0	0	1	3	4	6	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	5	0	0	0	0	1	0	0	0	0	0	1	0	
NNS	60	103	115	1	0	0	8	0	3	0	72	0	31	6	1	4	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBD	32	74	1	78	0	0	8	0	0	0	78	0	89	3	0	7	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TO	2	16	0	0	9	0	0	0	0	0	97	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VB	78	44	0	0	0	48	6	0	0	0	37	0	4	2	0	0	1	3	0	0	0	2	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ	50	140	8	8	0	6	96	1	4	3	67	1	28	7	5	7	1	6	1	0	2	0	0	1	0	0	0	3	0	0	1	0	0	1	6	0	1	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CS	21	19	0	0	0	0	1	60	1	0	26	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CD	60	55	3	0	0	0	4	1	92	0	53	0	24	1	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBG	43	45	0	0	0	0	3	0	0	3	33	0	14	4	0	4	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
