	VBN	IN	NN-TL	NP	CD	NNS	RB	TO	VB	AT	NN	WPS	VBD	,	CC	.	PP$	BEDZ	JJ-TL	DT	NNS-TL	NPS	NP-TL	AP	JJ	WRB	PPS	NP$	OD	CS	JJS	VBG	NP-HL	NN-HL	IN-HL	NNS-HL	BEZ	MD	BE	NR	RP	RBR	ABN	NN$-TL	DTS	NN$	NNS$	NN$-HL	JJ-HL	HVZ	BEN	VBN-TL	``	IN-TL	AT-TL	''	PPO	PN	BED	WP$	ABL	EX	VBZ	JJT	AT-HL	PPSS	*	QL	HVD	HVN	DTI	HV	JJR	PPS+MD	PPS+BEZ	DT+BEZ	VBG-HL	MD*	PPSS+BER	PPSS+MD	DO	WDT	BER	:	NNS$-TL	DOD	.-HL	NPS$	NR$	HVD*	ABX	VBD-HL	(	)	CD-HL	BEZ*	NPS-HL	NP$-TL	PPLS	AP$	'	DO*	--	PPSS+HV	DOZ*	CC-TL	CD-TL	RB-HL	CC-HL	PPSS+BEM	,-HL	WPO	FW-IN	FW-NN	NP+BEZ	VBG-TL	FW-AT-TL	PPS+HVZ	VB-TL	RB-TL	UH	MD-TL	PN+HVZ	NPS-TL	FW-JJ-TL	FW-NN-TL	BEG	PPL	VBN-HL	AP-HL	ABN-HL	OD-TL
VBN	40	23	1	8	2	1	5	0	1	22	22	0	5	1	2	1	1	0	2	3	0	0	0	0	5	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IN	23	623	49	81	23	55	41	66	38	34	238	0	37	1	1	3	18	0	7	5	9	6	11	13	59	8	3	7	0	16	0	9	0	1	8	3	0	1	7	18	26	4	1	1	1	0	0	0	2	0	2	0	3	12	0	0	7	1	6	0	1	0	8	3	1	7	0	5	0	0	3	1	2	0	2	0	0	0	0	0	0	3	7	8	1	1	0	0	0	1	0	0	3	5	1	1	0	0	0	1	2	0	3	1	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	
NN-TL	1	49	8	19	1	1	0	0	2	37	83	0	1	2	0	2	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NP	8	81	19	497	24	30	23	0	15	189	179	0	33	19	5	4	2	0	3	2	2	2	5	3	31	4	2	9	2	4	1	18	1	1	0	0	0	3	0	5	3	1	1	0	1	1	0	0	0	0	0	2	1	0	0	3	2	0	2	0	0	0	12	0	0	10	2	4	2	0	0	0	0	0	2	0	0	2	1	1	0	3	4	1	0	2	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CD	2	23	1	24	33	0	0	0	0	40	37	0	1	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS	1	55	1	30	0	54	1	0	2	66	104	0	0	1	0	7	0	0	1	0	0	0	0	0	7	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
RB	5	41	0	23	0	1	32	0	4	39	33	0	3	0	0	2	0	1	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TO	0	66	0	0	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VB	1	38	2	15	0	2	4	0	54	51	37	0	2	2	0	5	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
AT	22	34	37	189	40	66	39	0	51	682	121	4	22	0	10	2	17	0	20	9	3	5	24	22	34	5	14	8	1	17	0	29	4	7	1	1	6	10	11	15	7	2	6	1	4	2	1	0	1	1	0	0	0	0	9	3	6	5	3	0	0	4	6	1	1	15	0	4	1	0	4	1	1	5	2	3	1	0	1	3	3	1	3	2	0	1	1	1	2	0	3	0	1	1	2	0	0	0	1	0	3	1	0	0	0	0	0	4	0	1	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	
