	NP	IN	BEDZ	PP$	NN$	NN	,	CC	JJT	.	VBD	NNS	AT	VBN	OD-TL	JJ-TL	NN-TL	AP	NR	WPS	MD	VB	CD	NP-TL	AT-TL	HVZ	NN$-TL	PPO	``	IN-TL	''	BEZ	HV	VBG	BER	JJ	DT	VBZ	TO	WRB	RB	WDT	PPSS	PPSS+HV	BEN	MD*	ABN	RBR	NN-TL-HL	PPS	DOZ	CS	NP$	RP	HVN	HVG	BE	--	JJ-HL	NNS-HL	EX	NNS-TL	NN-HL	QL	DTI	PPS+BEZ-HL	RBT	NNS$	DTS	NP$-TL	OD	BED	JJR-TL	VBN-HL	DO	VBG-HL	CD-TL	NPS	WP$	NPS$	CC-TL	CC-HL	:	*	IN-HL	NP-HL	,-HL	CD-HL	HVD	VBZ-HL	PPSS+MD	VBG-TL	(	)	JJR	NR-HL	DOD	JJS	(-HL	)-HL	JJR-HL	BEG	PPL	VBN-TL	PPLS	TO-HL	VB-HL	BEM	JJT-HL	NN$-HL	'	HVD-HL	AT-HL	.-HL	DO*	PN	RB$	ABX	VBD-HL	RP-HL	BEDZ*	NR-TL	FW-IN	FW-NN	ABL	WPO	RB-HL	NR$
NP	645	108	0	3	0	153	21	2	0	16	29	44	130	26	2	3	37	4	6	1	6	13	26	19	0	0	1	4	0	0	2	5	4	14	5	30	0	4	0	3	20	1	3	0	3	0	0	1	0	1	0	3	2	0	2	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	0	3	0	2	0	0	1	0	0	0	0	10	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
IN	108	846	0	25	4	318	1	2	0	1	58	89	23	72	1	12	56	15	28	0	11	16	33	13	0	0	0	7	0	19	0	1	9	28	7	52	1	8	74	10	45	16	12	0	0	2	2	5	1	10	0	30	1	18	1	0	13	0	3	5	1	2	6	1	2	1	0	0	0	0	3	0	0	5	0	0	2	3	0	1	0	0	1	3	7	6	0	3	7	3	2	0	2	3	0	0	3	2	0	0	0	4	1	3	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	
BEDZ	0	0	76	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PP$	3	25	0	55	0	12	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN$	0	4	0	0	0	20	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NN	153	318	12	12	20	893	106	6	6	20	39	169	149	62	1	17	72	28	28	4	19	39	31	27	0	5	0	4	0	1	6	1	3	33	3	125	3	3	9	8	31	2	5	1	10	0	2	1	0	11	0	23	4	11	0	1	9	3	0	4	0	8	9	3	2	0	0	4	0	2	4	12	1	5	0	1	4	5	0	2	0	0	1	1	7	1	3	1	1	1	0	1	0	0	4	1	1	0	0	1	0	3	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	
,	21	1	0	0	0	106	467	0	0	0	5	7	78	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC	2	2	0	0	0	6	0	275	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJT	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
.	16	1	0	0	1	20	0	0	0	420	3	12	1	8	0	1	13	2	2	0	0	3	4	3	0	0	0	0	0	0	0	2	0	2	0	7	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
